control,variant,vus,replica,avg_ms,p95_ms,err_pct,rps,create_ok,create_fail,cpu_total_m,mem_total_Mi
C3,baseline,10,1,24.356,46.476,0,147.541,427,0,625,212
C3,baseline,10,2,23.691,45.347,0,148.351,433,0,2111,232
C3,baseline,10,3,23.609,44.641,0,148.932,434,0,2017,234
C3,baseline,10,4,26.768,55.006,0,142.237,414,0,2022,247
C3,baseline,10,5,111.586,81.06,0,58.912,224,3,0,0
C3,baseline,10,6,49.783,81.108,0,106.368,312,0,840,269
C3,baseline,10,7,27.526,55.117,0,140.277,409,0,1821,275
C3,baseline,10,8,26.198,51.57,0,143.273,418,0,1954,298
C3,baseline,1,1,118.162,69.036,0,6.196,18,0,440,136
C3,baseline,1,2,20.642,38.355,0,15.664,45,0,643,135
C3,baseline,1,3,15.391,20.775,0,17.066,49,0,344,138
C3,baseline,1,4,13.856,20.83,0,17.527,51,0,248,139
C3,baseline,1,5,13.821,20.902,0,17.541,51,0,341,141
C3,baseline,1,6,13.392,18.064,0,17.669,51,0,242,143
C3,baseline,1,7,13.987,20.549,0,17.483,50,0,255,144
C3,baseline,1,8,13.763,19.988,0,17.553,51,0,259,147
C3,baseline,20,1,182.074,257.858,0,71.999,328,8,1883,315
C3,baseline,20,2,45.827,90.814,0,220.454,650,0,1575,321
C3,baseline,20,3,54.358,109.599,0,202.063,589,0,2546,350
C3,baseline,20,4,52.801,105.712,0,206.678,601,0,3062,367
C3,baseline,20,5,103.105,156.09,0,106.81,520,2,0,0
C3,baseline,20,6,51.493,98.991,0,209.821,609,0,1238,245
C3,baseline,20,7,49.707,94.384,0,213.922,628,0,2971,426
C3,baseline,20,8,48.975,92.824,0,215.596,635,0,2759,442
C3,baseline,5,1,16.812,28.611,0,82.926,240,0,120,149
C3,baseline,5,2,17.897,31.161,0,81.438,237,0,1127,166
C3,baseline,5,3,17.797,31.841,0,81.595,238,0,1087,170
C3,baseline,5,4,92.033,73.849,0,29.259,185,2,0,0
C3,baseline,5,5,100.185,343.49,0,33.235,98,0,0,0
C3,baseline,5,6,17.802,31.507,0,81.715,238,0,1018,185
C3,baseline,5,7,18.681,34.004,0,80.453,233,0,1175,186
C3,baseline,5,8,17.221,30.532,0,82.663,239,0,1108,198
C3,basic,10,1,20.807,39.842,0,154.569,454,0,381,213
C3,basic,10,2,24.417,45.425,0,146.325,425,0,2054,243
C3,basic,10,3,26.02,51.86,0,143.391,416,0,1989,239
C3,basic,10,4,24.498,47.432,0,146.325,426,0,1954,264
C3,basic,10,5,74.951,52.737,0,65.334,315,5,0,0
C3,basic,10,6,22.472,42.286,0,151.219,439,0,1182,285
C3,basic,10,7,24.998,46.17,0,145.962,425,0,2063,295
C3,basic,10,8,23.27,43.374,0,149.066,434,0,2027,318
C3,basic,1,1,76.171,77.153,0,8.376,24,0,476,135
C3,basic,1,2,20.723,20.331,0,15.643,45,0,425,136
C3,basic,1,3,14.382,22.954,0,17.367,50,0,256,139
C3,basic,1,4,14.565,21.428,0,17.305,50,0,250,140
C3,basic,1,5,15.695,22.821,0,16.968,49,0,268,142
C3,basic,1,6,14.596,21.84,0,17.296,50,0,265,143
C3,basic,1,7,19.382,20.998,0,15.967,46,0,260,144
C3,basic,1,8,15.768,25.717,0,16.954,49,0,326,147
C3,basic,20,1,44.95,87.133,0,223.609,658,0,935,324
C3,basic,20,2,48.037,99.504,0,216.842,634,0,2929,347
C3,basic,20,3,97.785,109.908,0,123.293,478,11,0,0
C3,basic,20,4,60.701,100.595,0,190.933,558,0,408,200
C3,basic,20,5,46.844,90.349,0,218.111,645,0,2894,414
C3,basic,20,6,133.938,159.582,0,103.962,495,5,2282,454
C3,basic,20,7,47.91,93.788,0,216.944,632,0,1696,443
C3,basic,20,8,53.424,101.602,0,205.824,603,0,2841,460
C3,basic,5,1,17.266,30.953,0,82.193,238,0,396,150
C3,basic,5,2,18.011,31.231,0,81.402,237,0,1098,161
C3,basic,5,3,16.141,25.736,0,84.04,242,0,1107,169
C3,basic,5,4,18.798,31.502,0,80.121,231,0,1112,173
C3,basic,5,5,17.966,30.485,0,81.398,237,0,1067,183
C3,basic,5,6,17.285,29.297,0,82.474,239,0,1088,186
C3,basic,5,7,17.984,29.912,0,81.659,236,0,1086,200
C3,basic,5,8,19.143,32.628,0,79.514,231,0,1081,204
C3,strict,10,1,23.582,45.267,0,148.567,432,0,293,214
C3,strict,10,2,25.711,49.026,0,143.863,418,0,1904,237
C3,strict,10,3,90.719,61.468,0,52.907,277,10,0,0
C3,strict,10,4,76.218,104.606,0,82.345,241,1,1062,260
C3,strict,10,5,26.194,49.462,0,142.011,414,0,1911,269
C3,strict,10,6,24.106,47.383,0,146.577,427,0,1906,281
C3,strict,10,7,25.177,48.918,0,145.326,425,0,1998,294
C3,strict,10,8,25.527,49.965,0,144.813,421,0,1954,307
C3,strict,1,1,8247.047,14588.575,0,0.12,0,1,1131,157
C3,strict,1,2,3749.354,15797.449,0,0.264,1,0,805,157
C3,strict,1,3,30.899,38.668,0,13.494,42,0,270,159
C3,strict,1,4,14.64,21.899,0,17.283,50,0,416,159
C3,strict,1,5,14.159,20.985,0,17.436,50,0,250,162
C3,strict,1,6,13.522,18.887,0,17.625,51,0,261,163
C3,strict,1,7,13.558,18.686,0,17.615,51,0,255,164
C3,strict,1,8,14.356,20.934,0,17.372,50,0,248,165
C3,strict,20,1,50.506,98.928,0,210.429,615,0,917,325
C3,strict,20,2,48.638,92.407,0,216.041,627,0,3026,333
C3,strict,20,3,54.602,109.245,0,202.946,595,0,2762,359
C3,strict,20,4,48.555,96.325,0,216.334,631,0,3129,382
C3,strict,20,5,86.791,176.376,0,152.655,449,0,2985,409
C3,strict,20,6,50.338,95.117,0,211.896,620,0,2806,419
C3,strict,20,7,54.404,99.532,0,203.938,594,0,2807,456
C3,strict,20,8,51.283,99.255,0,209.676,609,0,2687,454
C3,strict,5,1,95.195,71.585,0,31.025,129,4,0,0
C3,strict,5,2,613.29,5680.224,0,7.073,25,5,0,0
C3,strict,5,3,20.074,40.403,0,78.96,227,0,949,176
C3,strict,5,4,17.281,29.278,0,82.439,238,0,1056,181
